Nombre;Austria-Hungria;
Subescenario;1860;
Tipo;economicos;
Producción carbón (Tm);7.53632625E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);583015.0;
PIB ($ Geary-Khamis de 1990);4.286875E10;
Producción acero (Tm);110405.03612499998;
Población total;1.9682757875E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;137437.2125;
Soldados -de todos los ejércitos-;281222.42949999997;
Infraestructura desarrollada;0.0;
Densidad ferroviaria (km/km2);0.06001624999999999;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);174533.25662499998;
Tonelaje desplazado por la marina mercante (Tm);2753993.9571249993;
Subescenario;1870;
Tipo;economicos;
Producción carbón (Tm);1.00312875E8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);600162.5;
PIB ($ Geary-Khamis de 1990);5.14425E10;
Producción acero (Tm);286363.25;
Población total;2.215285525E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;210056.875;
Soldados -de todos los ejércitos-;301062.08699999994;
Infraestructura desarrollada;0.0;
Densidad ferroviaria (km/km2);0.08830962499999997;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);174533.25662499998;
Tonelaje desplazado por la marina mercante (Tm);2753993.9571249993;
Subescenario;1880;
Tipo;economicos;
Producción carbón (Tm);1.27748875E8;
Producción hierro (Tm);1.5702823125E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);5361311.628749999;
PIB ($ Geary-Khamis de 1990);6.001625E10;
Producción acero (Tm);3172287.5;
Población total;2.5224224568249997E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;208770.8125;
Soldados -de todos los ejércitos-;339109.8173749999;
Infraestructura desarrollada;0.8573749999999999;
Densidad ferroviaria (km/km2);0.10288499999999998;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);174533.25662499998;
Tonelaje desplazado por la marina mercante (Tm);2753993.9571249993;
Subescenario;1890;
Tipo;economicos;
Producción carbón (Tm);1.58614375E8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);5369944.537625;
PIB ($ Geary-Khamis de 1990);6.859E10;
Producción acero (Tm);4544087.5;
Población total;2.8093461728625E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;221202.75;
Soldados -de todos los ejércitos-;360097.5;
Infraestructura desarrollada;0.8573749999999999;
Densidad ferroviaria (km/km2);0.11403087499999998;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);174533.25662499998;
Tonelaje desplazado por la marina mercante (Tm);2753993.9571249993;
